Country,Admin1_Name,Admin1_PCODE,Admin2_Name,Admin2_PCODE,City/Locations,Acronym,Organisation,Type,Sectors,Activity / Project,Status Activities,Comments,
Liberia,River Ghee,LBR13,,,,UNICEF,United Nations Children's Fund,UN Agency,Infection prevention and control,,,,
Liberia,Rivercess,LBR14,,,,UNICEF,United Nations Children's Fund,UN Agency,Infection prevention and control,,,,
Liberia,Sinoe,LBR15,,,,UNICEF,United Nations Children's Fund,UN Agency,Infection prevention and control,,,,
Liberia,,,,,,UNICEF,United Nations Children's Fund,UN Agency,Case Management,,,,
Liberia,,,,,,UNICEF,United Nations Children's Fund,UN Agency,Coordination,,,,
Liberia,,,,,,UNICEF,United Nations Children's Fund,UN Agency,Social Mobilisation/Health Promotion,,,,
Liberia,Bomi,LBR01,,,,UNMIL,United Nations Mission In Liberia,UN Agency,Social Mobilisation/Health Promotion,,,,
Liberia,Bong,LBR02,,,,UNMIL,United Nations Mission In Liberia,UN Agency,Coordination,"The unit reviews the dailies and other media to pick up Ebola-related issues, then compiles this information into a regular update to senior management and other appropriate quarters, both locally and internationally",,,
Liberia,Gbarpolu,LBR03,,,,UNMIL,United Nations Mission In Liberia,UN Agency,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Bassa,LBR04,,,,UNMIL,United Nations Mission In Liberia,UN Agency,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Cape Mount,LBR05,,,,UNMIL,United Nations Mission In Liberia,UN Agency,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Gedeh,LBR06,,,,UNMIL,United Nations Mission In Liberia,UN Agency,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Kru,LBR07,,,,UNMIL,United Nations Mission In Liberia,UN Agency,Social Mobilisation/Health Promotion,,,,
Liberia,Lofa,LBR08,,,,UNMIL,United Nations Mission In Liberia,UN Agency,Social Mobilisation/Health Promotion,,,,
Liberia,Margibi,LBR09,,,,UNMIL,United Nations Mission In Liberia,UN Agency,Social Mobilisation/Health Promotion,,,,
Liberia,Maryland,LBR10,,,,UNMIL,United Nations Mission In Liberia,UN Agency,Social Mobilisation/Health Promotion,,,,
Liberia,Montserrado,LBR11,,,,UNMIL,United Nations Mission In Liberia,UN Agency,Case Management,,,,
Liberia,Montserrado,LBR11,,,,UNMIL,United Nations Mission In Liberia,UN Agency,Coordination,,,,
Liberia,Montserrado,LBR11,,,,UNMIL,United Nations Mission In Liberia,UN Agency,Social Mobilisation/Health Promotion,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Nimba,LBR12,,,,UNMIL,United Nations Mission In Liberia,UN Agency,Social Mobilisation/Health Promotion,,,,
Liberia,River Ghee,LBR13,,,,UNMIL,United Nations Mission In Liberia,UN Agency,Social Mobilisation/Health Promotion,,,,
Liberia,Rivercess,LBR14,,,,UNMIL,United Nations Mission In Liberia,UN Agency,Social Mobilisation/Health Promotion,,,,
Liberia,Sinoe,LBR15,,,,UNMIL,United Nations Mission In Liberia,UN Agency,Social Mobilisation/Health Promotion,,,,
Liberia,,,,,,UNMIL,United Nations Mission In Liberia,UN Agency,Logistics,"Provision of vehicles to MoHSW, BIN and LNP",,,
Liberia,,,,,,US Gvt,US Government,Donors,Case Management,,,,
Liberia,,,,,,US Gvt,US Government,Donors,Coordination,,,,
Liberia,,,,,,US Gvt,US Government,Donors,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Bassa,LBR04,,,,Welthungerhilfe,Welthungerhilfe,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Bassa,LBR04,,,,Welthungerhilfe,Welthungerhilfe,International NGO,Community care,,,,
Liberia,Montserrado,LBR11,,,,West Point Women,West Point Women,National NGO,Community care,,,,
Liberia,Montserrado,LBR11,,,,West Point Women,West Point Women,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Bomi,LBR01,,,,WFP,World Food Programme,UN Agency,Food distribution,,Inadequate or none,,
Liberia,Bong,LBR02,,,,WFP,World Food Programme,UN Agency,Food distribution,,Inadequate or none,,
Liberia,Gbarpolu,LBR03,,,,WFP,World Food Programme,UN Agency,Food distribution,,Inadequate or none,,
Liberia,Grand Bassa,LBR04,,,,WFP,World Food Programme,UN Agency,Food distribution,,Inadequate or none,,
Liberia,Grand Cape Mount,LBR05,,,,WFP,World Food Programme,UN Agency,Food distribution,,Inadequate or none,,
Liberia,Grand Gedeh,LBR06,Tchien,LBR0603,Zwedru,WFP,World Food Programme,UN Agency,Air transportation,,Inadequate or none,,
Liberia,Grand Gedeh,LBR06,Tchien,LBR0603,Zwedru,WFP,World Food Programme,UN Agency,Logistics,,Inadequate or none,,
Liberia,Grand Gedeh,LBR06,,,,WFP,World Food Programme,UN Agency,Food distribution,,Inadequate or none,,
Liberia,Grand Kru,LBR07,,,,WFP,World Food Programme,UN Agency,Food distribution,,Inadequate or none,,
Liberia,Lofa,LBR08,Foya,LBR0801,Foya,WFP,World Food Programme,UN Agency,Air transportation,,Inadequate or none,,
Liberia,Lofa,LBR08,Voinjama,LBR0805,Voinjama,WFP,World Food Programme,UN Agency,Air transportation,,Inadequate or none,,
Liberia,Lofa,LBR08,Voinjama,LBR0805,Voinjama,WFP,World Food Programme,UN Agency,Logistics,,Inadequate or none,,
Liberia,Lofa,LBR08,,,,WFP,World Food Programme,UN Agency,Case Management,,,,
Liberia,Lofa,LBR08,,,,WFP,World Food Programme,UN Agency,Food distribution,,Inadequate or none,,
Liberia,Margibi,LBR09,,,,WFP,World Food Programme,UN Agency,Food distribution,,Inadequate or none,,
Liberia,Maryland,LBR10,,,Harper,WFP,World Food Programme,UN Agency,Air transportation,,Inadequate or none,,
Liberia,Maryland,LBR10,,,Harper,WFP,World Food Programme,UN Agency,Logistics,,Inadequate or none,,
Liberia,Maryland,LBR10,,,,WFP,World Food Programme,UN Agency,Food distribution,,Inadequate or none,,
Liberia,Montserrado,LBR11,Greater Monrovia,LBR1102,Monrovia,WFP,World Food Programme,UN Agency,Air transportation,,Inadequate or none,,
Liberia,Montserrado,LBR11,Greater Monrovia,LBR1102,Monrovia,WFP,World Food Programme,UN Agency,Logistics,,Inadequate or none,,
Liberia,Montserrado,LBR11,,,,WFP,World Food Programme,UN Agency,Food distribution,,Inadequate or none,,
Liberia,Nimba,LBR12,Sanniquellie Mahn,,Saclepea,WFP,World Food Programme,UN Agency,Logistics,,Inadequate or none,,
Liberia,Nimba,LBR12,,,,WFP,World Food Programme,UN Agency,Food distribution,,Inadequate or none,,
Liberia,River Ghee,LBR13,,,,WFP,World Food Programme,UN Agency,Food distribution,,Inadequate or none,,
Liberia,Rivercess,LBR14,,,,WFP,World Food Programme,UN Agency,Food distribution,Supplies basic food items to the county for distribution to Ebola contact persons that are in isolation center,,,
Liberia,Sinoe,LBR15,,,,WFP,World Food Programme,UN Agency,Food distribution,,Inadequate or none,,
Liberia,Bong,LBR02,,,,WHO,World Health Organization,UN Agency,Case Management,Support case management and infection control in Bong and Nimba counties,,,
Liberia,Bong,LBR02,,,,WHO,World Health Organization,UN Agency,Coordination,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Bong,LBR02,,,,WHO,World Health Organization,UN Agency,Social Mobilisation/Health Promotion,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Lofa,LBR08,,,,WHO,World Health Organization,UN Agency,Coordination,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Lofa,LBR08,,,,WHO,World Health Organization,UN Agency,Social Mobilisation/Health Promotion,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Margibi,LBR09,,,,WHO,World Health Organization,UN Agency,Coordination,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Montserrado,LBR11,,,,WHO,World Health Organization,UN Agency,Coordination,,Sufficient and adequate,,
Liberia,Montserrado,LBR11,,,,WHO,World Health Organization,UN Agency,Safe burial,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Montserrado,LBR11,,,,WHO,World Health Organization,UN Agency,Social Mobilisation/Health Promotion,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Montserrado,LBR11,,,,WHO,World Health Organization,UN Agency,Surveillance/Contact Tracing,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Nimba,LBR12,,,,WHO,World Health Organization,UN Agency,Case Management,Support case management and infection control in Bong and Nimba counties,,,
Liberia,Nimba,LBR12,,,,WHO,World Health Organization,UN Agency,Coordination,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Rivercess,LBR14,,,,WHO,World Health Organization,UN Agency,Coordination,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,,,,,,WHO,World Health Organization,UN Agency,Epi-Surveillance and Lab,Surveillance support - supporting MoHSW in data management; contact tracing system developed in Montserrado and planning to extend to nearby counties,,,
Liberia,,,,,,WHO,World Health Organization,UN Agency,Social Mobilisation/Health Promotion,"Working with MoH, UNICEF and partners on messaging, documenting testimonies from survivors; in contact with traditional chiefs to engage their support in spreading the messages to communities etc",,,
Liberia,,,,,,WHO,World Health Organization,UN Agency,Coordination,Lead UNCT Agency on Ebola Task Force and respective Technical Task Forces,,,
Liberia,,,,,,WHO,World Health Organization,UN Agency,Case Management,,,,
Liberia,,,,,,WHO,World Health Organization,UN Agency,Surveillance/Contact Tracing,,,,
Liberia,Margibi,LBR09,,,,Winrock,Winrock,International NGO,Other,"Business skills, training, child labor issues",,,
Liberia,Bomi,LBR01,,,,WOCAP,WOCAP,National NGO,Community care,,,,
Liberia,Bomi,LBR01,,,,WOCAP,WOCAP,National NGO,Surveillance/Contact Tracing,,,,
Liberia,Bong,LBR02,,,,WOCDAL,WOCDAL,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Margibi,LBR09,,,,WOCDAL,WOCDAL,National NGO,Surveillance/Contact Tracing,,,,
Liberia,Margibi,LBR09,,,,WOCDAL,WOCDAL,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Margibi,LBR09,,,,WOCDAL,WOCDAL,National NGO,Infection prevention and control,,,,
Liberia,Montserrado,LBR11,,,,WOCDAL,WOCDAL,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Bomi,LBR01,,,,Women's Campaign International,Women's Campaign International,International Organization,Funding,"Not carrying out any social mobilisation in Bomi County, but donated LD 40,000.00 for food to the Joseph Town Community in Tubmanburg.",,,
Liberia,Bomi,LBR01,,,,Women's Campaign International,Women's Campaign International,International Organization,Social Mobilisation/Health Promotion,"Conducting ""awareness to action"" trainings that help community groups to support their communities to report suspected cases",,,
Liberia,Bong,LBR02,,,,Women's Campaign International,Women's Campaign International,International Organization,Social Mobilisation/Health Promotion,"Can connect interested NGOs to strong rural women's community groups in all counties (have a network of over 20,000 men and women)
Can connect interested NGOs to Zoe networks and midwife networks in all districts and countiesCan connect interested NGOs to strong rural women's community groups in all counties (have a network of over 20,000 men and women)
Can connect interested NGOs to Zoe networks and midwife networks in all districts and countiesCan connect interested NGOs to strong rural women's community groups in all counties (have a network of over 20,000 men and women)
Can connect interested NGOs to Zoe networks and midwife networks in all districts and countiesCan connect interested NGOs to strong rural women's community groups in all counties (have a network of over 20,000 men and women)
Can connect interested NGOs to Zoe networks and midwife networks in all districts and countiesCan connect interested NGOs to strong rural women's community groups in all counties (have a network of over 20,000 men and women)
Can connect interested NGOs to Zoe networks and midwife networks in all districts and countiesCan connect interested NGOs to strong rural women's community groups in all counties (have a network of over 20,000 men and women)
Can connect interested NGOs to Zoe networks and midwife networks in all districts and countiesCan connect interested NGOs to strong rural women's community groups in all counties (have a network of over 20,000 men and women)
Can connect interested NGOs to Zoe networks and midwife networks in all districts and countiesCan connect interested NGOs to strong rural women's community groups in all counties (have a network of over 20,000 men and women)
Can connect interested NGOs to Zoe networks and midwife networks in all districts and countiesCan connect interested NGOs to strong rural women's community groups in all counties (have a network of over 20,000 men and women)
Can connect interested NGOs to Zoe networks and midwife networks in all districts and countiesCan connect interested NGOs to strong rural women's community groups in all counties (have a network of over 20,000 men and women)
Can connect interested NGOs to Zoe networks and midwife networks in all districts and countiesCan connect interested NGOs to strong rural women's community groups in all counties (have a network of over 20,000 men and women)
Can connect interested NGOs to Zoe networks and midwife networks in all districts and counties",,,
Liberia,Gbarpolu,LBR03,,,,Women's Campaign International,Women's Campaign International,International Organization,Coordination,,,,
Liberia,Grand Bassa,LBR04,,,,Women's Campaign International,Women's Campaign International,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Cape Mount,LBR05,,,,Women's Campaign International,Women's Campaign International,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Gedeh,LBR06,,,,Women's Campaign International,Women's Campaign International,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Kru,LBR07,,,,Women's Campaign International,Women's Campaign International,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Lofa,LBR08,,,,Women's Campaign International,Women's Campaign International,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Margibi,LBR09,,,,Women's Campaign International,Women's Campaign International,International Organization,Social Mobilisation/Health Promotion,"Conducting ""awareness to action"" trainings that help community groups to support their communities to report suspected cases",,,
Liberia,Maryland,LBR10,,,,Women's Campaign International,Women's Campaign International,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Montserrado,LBR11,,,,Women's Campaign International,Women's Campaign International,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Nimba,LBR12,,,,Women's Campaign International,Women's Campaign International,International Organization,Social Mobilisation/Health Promotion,"Conducting ""awareness to action"" trainings that help community groups to support their communities to report suspected cases",,,
Liberia,River Ghee,LBR13,,,,Women's Campaign International,Women's Campaign International,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Rivercess,LBR14,,,,Women's Campaign International,Women's Campaign International,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Sinoe,LBR15,,,,Women's Campaign International,Women's Campaign International,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,,,,,,World Bank,World Bank,Donors,Case Management,,,,
Liberia,,,,,,World Bank,World Bank,Donors,Coordination,,,,
Liberia,Bong,LBR02,,,,ZOA,ZOA International,International NGO,Social Mobilisation/Health Promotion,"Will train 6 local partners, work with local leaders (town chiefs, paramount chiefs, women leaders, youth leaders); and will conduct awareness/sensitization on prevention, sanitation materials distribution (buckets, cholrine and soap), possibly chlorination of water wells",,,
Liberia,Margibi,LBR09,,,,ZOA,ZOA International,International NGO,Social Mobilisation/Health Promotion,"Will train 6 local partners, work with local leaders (town chiefs, paramount chiefs, women leaders, youth leaders); and will conduct awareness/sensitization on prevention, sanitation materials distribution (buckets, cholrine and soap), possibly chlorination of water wells",,,
Liberia,Montserrado,LBR11,,,,ZOA,ZOA International,International NGO,Social Mobilisation/Health Promotion,"Will train 6 local partners, work with local leaders (town chiefs, paramount chiefs, women leaders, youth leaders); and will conduct awareness/sensitization on prevention, sanitation materials distribution (buckets, cholrine and soap), possibly chlorination of water wells",,,
Liberia,Bomi,LBR01,,,,ACF,Action Against Hunger,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Bong,LBR02,,,,ACF,Action Against Hunger,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Gbarpolu,LBR03,,,,ACF,Action Against Hunger,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Bassa,LBR04,,,,ACF,Action Against Hunger,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Cape Mount,LBR05,,,,ACF,Action Against Hunger,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Gedeh,LBR06,,,,ACF,Action Against Hunger,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Kru,LBR07,,,,ACF,Action Against Hunger,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Lofa,LBR08,,,,ACF,Action Against Hunger,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Margibi,LBR09,,,,ACF,Action Against Hunger,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Maryland,LBR10,,,,ACF,Action Against Hunger,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Montserrado,LBR11,,,,ACF,Action Against Hunger,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Nimba,LBR12,,,,ACF,Action Against Hunger,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,River Ghee,LBR13,,,,ACF,Action Against Hunger,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Rivercess,LBR14,,,,ACF,Action Against Hunger,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Sinoe,LBR15,,,,ACF,Action Against Hunger,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Bomi,LBR01,,,,ACF,Action Against Hunger,International Organization,WASH in communities,,,,
Liberia,Bong,LBR02,,,,ACF,Action Against Hunger,International Organization,WASH in communities,,,,
Liberia,Gbarpolu,LBR03,,,,ACF,Action Against Hunger,International Organization,WASH in communities,,,,
Liberia,Grand Bassa,LBR04,,,,ACF,Action Against Hunger,International Organization,WASH in communities,,,,
Liberia,Grand Cape Mount,LBR05,,,,ACF,Action Against Hunger,International Organization,WASH in communities,,,,
Liberia,Grand Gedeh,LBR06,,,,ACF,Action Against Hunger,International Organization,WASH in communities,,,,
Liberia,Grand Kru,LBR07,,,,ACF,Action Against Hunger,International Organization,WASH in communities,,,,
Liberia,Lofa,LBR08,,,,ACF,Action Against Hunger,International Organization,WASH in communities,,,,
Liberia,Margibi,LBR09,,,,ACF,Action Against Hunger,International Organization,WASH in communities,,,,
Liberia,Maryland,LBR10,,,,ACF,Action Against Hunger,International Organization,WASH in communities,,,,
Liberia,Montserrado,LBR11,,,,ACF,Action Against Hunger,International Organization,WASH in communities,,,,
Liberia,Nimba,LBR12,,,,ACF,Action Against Hunger,International Organization,WASH in communities,,,,
Liberia,River Ghee,LBR13,,,,ACF,Action Against Hunger,International Organization,WASH in communities,,,,
Liberia,Rivercess,LBR14,,,,ACF,Action Against Hunger,International Organization,WASH in communities,,,,
Liberia,Sinoe,LBR15,,,,ACF,Action Against Hunger,International Organization,WASH in communities,,,,
Liberia,Montserrado,LBR11,,,,CODES,CODES,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,River Ghee,LBR13,,,,CODES,CODES,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Cape Mount,LBR05,,,,CODES,CODES,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Bassa,LBR04,,,,CWW,Concern Worldwide,International NGO,Safe burial,,,,
Liberia,Grand Bassa,LBR04,,,,CWW,Concern Worldwide,International NGO,CCC,,,,
Liberia,Grand Bassa,LBR04,,,,CWW,Concern Worldwide,International NGO,WASH in communities,,,,
Liberia,Montserrado,LBR11,,,,CWW,Concern Worldwide,International NGO,Safe burial,,,,
Liberia,Montserrado,LBR11,,,,CWW,Concern Worldwide,International NGO,CCC,,,,
Liberia,Montserrado,LBR11,,,,CWW,Concern Worldwide,International NGO,WASH in communities,,,,
Liberia,Lofa,LBR08,,,,CWW,Concern Worldwide,International NGO,Safe burial,,,,
Liberia,Lofa,LBR08,,,,CWW,Concern Worldwide,International NGO,CCC,,,,
Liberia,Lofa,LBR08,,,,CWW,Concern Worldwide,International NGO,WASH in communities,,,,
Liberia,Gbarpolu,LBR03,,,,ECREP,ECREP,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Gbarpolu,LBR03,,,,ECREP,ECREP,National NGO,WASH in communities,,,,
Liberia,Bomi,LBR01,,,,ECREP,ECREP,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Bomi,LBR01,,,,ECREP,ECREP,National NGO,WASH in communities,,,,
Liberia,Montserrado,LBR11,,,,EQUIP Liberia,EQUIP Liberia,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Nimba,LBR12,,,,EQUIP Liberia,EQUIP Liberia,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Nimba,LBR12,,,,FAAL,Foundation for All Ages,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Cape Mount,LBR05,,,,FAAL,Foundation for All Ages,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Bomi,LBR01,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,Safe burial,,,,
Liberia,Bomi,LBR01,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,WASH in communities,,,,
Liberia,Bong,LBR02,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,Safe burial,,,,
Liberia,Bong,LBR02,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,WASH in communities,,,,
Liberia,Gbarpolu,LBR03,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,Safe burial,,,,
Liberia,Gbarpolu,LBR03,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,Surveillance/Contact Tracing,,,,
Liberia,Gbarpolu,LBR03,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,WASH in communities,,,,
Liberia,Margibi,LBR09,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,Safe burial,,,,
Liberia,Margibi,LBR09,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,WASH in communities,,,,
Liberia,Grand Cape Mount,LBR05,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,Safe burial,,,,
Liberia,Grand Cape Mount,LBR05,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,Surveillance/Contact Tracing,,,,
Liberia,Grand Cape Mount,LBR05,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,WASH in communities,,,,
Liberia,Rivercess,LBR14,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,Safe burial,,,,
Liberia,Rivercess,LBR14,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,WASH in communities,,,,
Liberia,Lofa,LBR08,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,Safe burial,,,,
Liberia,Lofa,LBR08,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,WASH in communities,,,,
Liberia,Nimba,LBR12,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,Safe burial,,,,
Liberia,Nimba,LBR12,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,WASH in communities,,,,
Liberia,Montserrado,LBR11,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,Safe burial,,,,
Liberia,Montserrado,LBR11,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,WASH in communities,,,,
Liberia,Bong,LBR02,,,,Global Communities,Global Communities,International Organization,WASH in communities,,,,
Liberia,Lofa,LBR08,,,,Global Communities,Global Communities,International Organization,WASH in communities,,,,
Liberia,Nimba,LBR12,,,,Global Communities,Global Communities,International Organization,WASH in communities,,,,
Liberia,Montserrado,LBR11,,,,Oxfam,Oxfam,International Organization,WASH in communities,,,,
Liberia,River Ghee,LBR13,,,,Oxfam,Oxfam,International Organization,WASH in communities,,,,
Liberia,Grand Gedeh,LBR06,,,,Oxfam,Oxfam,International Organization,WASH in communities,,,,
Liberia,Nimba,LBR12,,,,PSI,Population Services International,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Bong,LBR02,,,,PSI,Population Services International,International NGO,Social Mobilisation/Health Promotion,,,,
Guinea,Boke,GIN001,Boffa,GIN001001,,CRG,Croix-Rouge Guinée,Red Cross Movement,Communication/Mobilisation sociale,Communication,,,
Guinea,Boke,GIN001,Boffa,GIN001001,,CRG,Croix-Rouge Guinée,Red Cross Movement,Gestion des corps et desinfection,Gestion des corps et désinfection de l’itinéraire du malade,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Guinea,Boke,GIN001,Boffa,GIN001001,,MoH,Ministry of Health,Goverment,Communication/Mobilisation sociale,Communication,,,
Guinea,Boke,GIN001,Boffa,GIN001001,,MoH,Ministry of Health,Goverment,Coordination,Coordination,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Guinea,Boke,GIN001,Boffa,GIN001001,,MoH,Ministry of Health,Goverment,Prise en charge clinique et psycologique, Prise en charge medicale,,,
Guinea,Boke,GIN001,Boffa,GIN001001,,MoH,Ministry of Health,Goverment,Surveillance epidemiologique,Surveillance de l’épidémie,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Guinea,Boke,GIN001,Boffa,GIN001001,,MSF,Medecins sans Frontieres,International NGO,Communication/Mobilisation sociale,Communication,,,
Guinea,Boke,GIN001,Boffa,GIN001001,,MSF,Medecins sans Frontieres,International NGO,Coordination,Coordination,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Guinea,Boke,GIN001,Boffa,GIN001001,,MSF,Medecins sans Frontieres,International NGO,Prise en charge clinique et psycologique, Prise en charge medicale,,,
Guinea,Boke,GIN001,Boffa,GIN001001,,MSF,Medecins sans Frontieres,International NGO,Surveillance epidemiologique,Surveillance de l’épidémie,,,
Guinea,Boke,GIN001,Boffa,GIN001001,,UNDP,United Nations Development Programme,UN Agency,Coordination,Coordination,,,
Guinea,Boke,GIN001,Boffa,GIN001001,,UNICEF,United Nations Children's Fund,UN Agency,Assistance a la population affectée par l'epidemie, Prise en charge psychosociale ,,,
Guinea,Boke,GIN001,Boffa,GIN001001,,UNICEF,United Nations Children's Fund,UN Agency,Communication/Mobilisation sociale,Communication,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Guinea,Boke,GIN001,Boffa,GIN001001,,UNICEF,United Nations Children's Fund,UN Agency,Coordination,  Coordination,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Guinea,Boke,GIN001,Boffa,GIN001001,,WHO,World Health Organization,UN Agency,Communication/Mobilisation sociale,Communication,,,
Guinea,Boke,GIN001,Boffa,GIN001001,,WHO,World Health Organization,UN Agency,Coordination,  Coordination,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Guinea,Boke,GIN001,Boffa,GIN001001,,WHO,World Health Organization,UN Agency,Logistique, Logistique,,,
Guinea,Boke,GIN001,Boffa,GIN001001,,WHO,World Health Organization,UN Agency,Prise en charge clinique et psycologique, Prise en charge médicale,,,
Guinea,Boke,GIN001,Boffa,GIN001001,,WHO,World Health Organization,UN Agency,Surveillance epidemiologique,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Guinea,Conakry,GIN002,Conakry,GIN002005,,CRG,Croix-Rouge Guinée,Red Cross Movement,Communication/Mobilisation sociale,Communication,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,CRG,Croix-Rouge Guinée,Red Cross Movement,Gestion des corps et desinfection,Gestion des corps et désinfection de l’itinéraire du malade,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Guinea,Conakry,GIN002,Conakry,GIN002005,,IFRC,International Federation Of Red Cross and Red Crescent Societies,Red Cross Movement,Communication/Mobilisation sociale,Provide community level information and health promotion,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,IFRC,International Federation Of Red Cross and Red Crescent Societies,Red Cross Movement,Gestion des corps et desinfection,"Disinfect dwellings after confirmed Ebola cases, assist in the collection and removal of dead bodies",,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,IFRC,International Federation Of Red Cross and Red Crescent Societies,Red Cross Movement,Surveillance epidemiologique,Trace people who may have come into contact with those carrying the virus,,,
